itr,err,ans
4340,7.233198432623565e-15,-4.8879300767844566e-12
4350,7.29897893864021e-15,-7.463723711663247e-13
4360,7.34112898173997e-15,-6.138991879710866e-12
4370,7.267540621821846e-15,-5.338680490588467e-12
4380,7.220614588067847e-15,-7.699614034496458e-12
4390,7.313756734253776e-15,-5.1538418414664825e-12
4400,7.426824745714649e-15,-3.0796572697080125e-12
4410,7.302204445891086e-15,-2.030579732881063e-12
4420,7.280902895774556e-15,-5.371221792082627e-12
4430,7.276639833574656e-15,-7.56595426194774e-12
4440,7.084533212177458e-15,-4.448648491737806e-12
4450,7.288305320627675e-15,-2.886158065401248e-12
4460,7.292251532356973e-15,-3.9014684834594455e-12
4470,7.266067909565326e-15,-3.875577952963345e-12
4480,7.204382604576005e-15,-3.5679706850368732e-12
4490,7.385926815179437e-15,-6.560316372098503e-12
4500,7.17049196052962e-15,-6.39640619652227e-12
4510,7.3816152173221e-15,-6.994624121079341e-12
4520,7.152484891406988e-15,-4.646170740226765e-12
4530,7.302968342423608e-15,-2.697839157325641e-12
4540,7.336945223282756e-15,-2.981680197785671e-12
4550,7.254086603098925e-15,-2.342899193375928e-12
4560,7.270442594945643e-15,-5.663942197801289e-12
4570,7.266042328518017e-15,-4.367235240011646e-12
4580,7.362058474254361e-15,-6.2313378441963966e-12
4590,7.186877755138617e-15,-3.1252205020590312e-12
4600,7.215327203645524e-15,-5.5319852640869955e-12
4610,7.320136790459443e-15,-1.1538853176898122e-11
4620,7.217321818884791e-15,-7.620474860294925e-12
4630,7.332689278590271e-15,-5.177759648196396e-12
4640,7.287537135335175e-15,-3.469570601517563e-12
4650,7.342303562498148e-15,-3.5113199198497235e-12
4660,7.318487729664666e-15,-2.6279090113950084e-12
4670,7.344603723412183e-15,-5.264000979405102e-12
4680,7.203033630535427e-15,-5.469317813772518e-12
4690,7.19153161869026e-15,-6.069339873597588e-12
4700,7.29345576484172e-15,-1.1175360617625106e-12
4710,7.245388602258491e-15,-2.607376288490524e-12
4720,7.394001835754372e-15,-3.5568699434994682e-12
4730,7.279293202913171e-15,-2.1034121455184742e-12
4740,7.386583832899498e-15,-6.906913301539445e-12
4750,7.278313040038952e-15,-5.628330424956675e-12
4760,7.229669175189303e-15,-4.381077830565696e-12
4770,7.401227449516671e-15,-4.36096627601824e-12
4780,7.400531110498867e-15,-5.6309366432173245e-12
4790,7.274329314795175e-15,-1.7464356822570846e-12
4800,7.30552478894221e-15,-3.2273790968808895e-12
4810,7.298359358676381e-15,-4.9573585074022246e-12
4820,7.0933046327989584e-15,-6.550115045402022e-12
4830,7.244489839359199e-15,-5.01717987579683e-12
4840,7.427849050994205e-15,5.886024378225471e-13
4850,7.301010961362075e-15,-3.4534449519498322e-12
4860,7.308369114639268e-15,-1.5398127205499295e-12
4870,7.242051872810598e-15,-6.69400890270051e-12
4880,7.300424820917392e-15,-5.072822970131816e-12
4890,7.19948413024672e-15,-5.1284588582564846e-12
4900,7.092662593162069e-15,-4.5140588907931385e-12
4910,7.216654943199566e-15,-3.3383531377066227e-12
4920,7.30301404979032e-15,-3.1137032110125227e-12
4930,7.3613083965671e-15,-6.9697155643430155e-12
4940,7.235638081621902e-15,-2.6177208304621102e-12
4950,7.394969035131702e-15,-2.369657840361678e-12
4960,7.154531734150989e-15,-6.6921496533078106e-12
4970,7.190968140193062e-15,-1.4087086311608182e-12
4980,7.342993787084484e-15,-5.7972980251138735e-12
4990,7.329989110283896e-15,-3.651762342564271e-12
5000,7.297276381323365e-15,-4.355848943043625e-12
5010,7.220502635646172e-15,-5.503697441916175e-12
5020,7.311781385741029e-15,-4.431921362602094e-12
5030,7.295251955210351e-15,-4.680340424192034e-12
5040,7.325394260348908e-15,-3.5333459131621607e-12
5050,7.244373042978618e-15,-3.199065952086272e-12
5060,7.296413046722124e-15,-9.965144561799747e-13
5070,7.485830843264478e-15,-6.674192809588041e-12
5080,7.209156910112014e-15,-5.3184902838511145e-12
5090,7.40662416250395e-15,-4.412172345528011e-12
5100,7.256097346150847e-15,-5.9198732728390296e-12
5110,7.332426187282004e-15,-2.218288500081868e-12
5120,7.209380305620888e-15,-3.772752424605885e-12
5130,7.343092854795912e-15,-7.010439539383641e-12
5140,7.20624179741021e-15,-3.1377562936313786e-12
5150,7.293367392139848e-15,-5.772068646241253e-12
5160,7.256765792864654e-15,-3.640621523484858e-12
5170,7.211836099009354e-15,-4.906901417192994e-12
5180,7.299690664094486e-15,-4.254682936991409e-12
5190,7.140669666311108e-15,-4.097330001599445e-12
5200,7.423508465795427e-15,-6.013043869255178e-12
5210,7.232212000309015e-15,-5.1092132606282535e-12
5220,7.17031217457808e-15,-3.892251655333431e-12
5230,7.29515786845033e-15,-1.134227965503527e-12
5240,7.300365445771239e-15,-6.146797273139772e-12
5250,7.225052938791095e-15,-6.840928263293106e-12
5260,7.212200742052886e-15,-4.510784930817827e-12
5270,7.314272977242057e-15,-4.1062030054421236e-12
5280,7.283529308918707e-15,-5.6637919289878324e-12
5290,7.245071836271982e-15,-5.735705766128221e-12
5300,7.210282831546438e-15,-1.994295708701779e-12
5310,7.387094715762416e-15,-4.827655784841119e-12
5320,7.303644516243703e-15,-2.818076735744128e-12
5330,7.229643213949898e-15,-2.381493724545674e-12
5340,7.271471318532831e-15,-6.048405404686495e-12
5350,7.216604320587724e-15,-7.041710387656658e-12
